period,draw_date,n1,n2,n3,n4,n5,n6,special,draw_order,sales_amount,sales_count,prize_total,jackpot_winners,second_winners,third_winners,fourth_winners,fifth_winners,sixth_winners,seventh_winners,normal_winners,source,fetched_at
96000001,2007-01-02,13,21,23,27,31,49,19,,142307900,2846158,78269345,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000002,2007-01-05,12,19,23,42,44,48,33,,154604350,3092087,118929329,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000003,2007-01-09,26,28,35,39,44,45,18,,160225100,3204502,164817501,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000004,2007-01-12,10,16,26,28,31,33,44,,181952450,3639049,208800728,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000005,2007-01-16,13,28,33,38,43,48,4,,196840750,3936815,260180412,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000006,2007-01-19,6,26,27,44,45,46,2,,240713950,4814279,331321650,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000007,2007-01-23,6,7,15,31,36,44,29,,280766050,5615321,409970178,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000008,2007-01-26,8,13,18,26,34,36,17,,336386450,6727729,507466559,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000009,2007-01-30,6,18,26,39,42,45,14,,140860300,2817206,77473165,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000010,2007-02-02,7,8,10,12,47,48,38,,154647600,3092952,122577361,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000011,2007-02-06,12,16,26,32,41,48,1,,160554900,3211098,155580638,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000012,2007-02-09,7,28,30,41,45,48,44,,181553550,3631071,205942912,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000013,2007-02-13,2,8,25,39,43,46,13,,200382050,4007641,259567081,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000014,2007-02-16,18,19,27,34,44,48,37,,246330550,4926611,242496125,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000015,2007-02-20,1,13,19,33,38,45,36,,718141700,14362834,651981264,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000016,2007-02-23,5,13,25,30,39,48,36,,1313372350,26267447,1143043827,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000017,2007-02-27,6,22,36,39,48,49,28,,190274100,3805482,161192310,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000018,2007-03-02,12,15,24,32,39,49,6,,193897100,3877942,106643405,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000019,2007-03-06,2,15,16,31,33,46,40,,169993150,3399863,139712026,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000020,2007-03-09,12,14,20,21,23,31,45,,196225550,3924511,201217282,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000021,2007-03-13,4,13,22,24,26,41,28,,207689200,4153784,245804198,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000022,2007-03-16,28,35,36,38,43,49,47,,238181950,4763639,306231032,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000023,2007-03-20,14,15,25,37,47,49,13,,290435500,5808710,389995126,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000024,2007-03-23,5,6,17,19,20,32,18,,155548750,3110975,85551812,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000025,2007-03-27,4,11,21,39,42,43,10,,144034050,2880681,114595601,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000026,2007-03-30,14,31,33,40,45,46,49,,161782100,3235642,157626134,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000027,2007-04-03,4,10,39,43,45,49,33,,130339600,2606792,77365163,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000028,2007-04-06,10,18,22,34,35,37,41,,137886550,2757731,154320838,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000029,2007-04-10,2,4,6,20,42,47,39,,128344750,2566895,70589612,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000030,2007-04-13,5,15,23,28,31,33,49,,147722650,2954453,111192283,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000031,2007-04-17,8,31,40,44,45,48,6,,144194150,2883883,141461825,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000032,2007-04-20,9,15,16,19,44,49,37,,157636050,3152721,181227211,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000033,2007-04-24,8,20,22,25,38,40,41,,165647900,3312958,229125992,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000034,2007-04-27,9,10,29,32,38,42,37,,208416500,4168330,283970642,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000035,2007-05-01,21,24,28,34,45,49,46,,274696800,5493936,369128378,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000036,2007-05-04,6,22,34,38,40,44,15,,129525900,2590518,71239245,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000037,2007-05-08,1,16,27,28,41,46,38,,131697300,2633946,103310769,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000038,2007-05-11,10,13,21,26,29,47,49,,145510700,2910214,147292565,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
96000039,2007-05-15,13,31,35,40,47,48,39,,149071600,2981432,177731165,,,,,,,,,taiwanlottery_result_download_2007,2026-07-01T14:04:00
